# Created by Octave 4.2.1, Sun Oct 22 12:35:20 2017 GMT <unknown@user-PC>
# name: simpan
# type: matrix
# rows: 20
# columns: 2
 1 0.2559889487376153
 2 -1.273119761539329
 3 -3.817654157676546
 4 -7.424438061514285
 5 -11.48182004293488
 6 -16.88046982366874
 7 -24.17378738963753
 8 -31.2227510770126
 9 -39.46819508763011
 10 -50.38184846749009
 11 -59.95549566097807
 12 -71.03815915026824
 13 -82.87284621169961
 14 -96.30455130479935
 15 -112.5657575196527
 16 -124.1571498435744
 17 -146.4056480177572
 18 -162.4675479431267
 19 -176.9582119860608
 20 -197.9443850354361


